"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b""Excellent restaurant japonais, situ\xc3\xa9 dans un quartier anim\xc3\xa9 du 6 \xc3\xa9me arrondissement, le service est agr\xc3\xa9able et pr\xc3\xa9venant.\nProposant de tr\xc3\xa8s bons plat, c'est avec plaisir que nous revenons r\xc3\xa9guli\xc3\xa8rement dans cet \xc3\xa9tablissement.\nAdresse qui m\xc3\xa9rite \xc3\xa0 \xc3\xaatre d\xc3\xa9couvrir""","b'10'","b'Bruno M.'","b'08-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'8,5'","b'Isaure G.'","b'08-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Muy rico todo. El sashimi fresco. Personal muy amable. Relaci\xc3\xb3n calidad precio muy buena. Para volver.'","b'10'","b'Alexandra P.'","b'08-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'10'","b'Audrey N.'","b'08-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'9'","b'Lila B.'","b'07-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b""Pas mal mais sans plus.\nLa r\xc3\xa9duction ne s'appliquait que sur une partie bien pr\xc3\xa9cise de la carte...Le choix est donc plus restreints. Nous avons du coup pris des menus ( sur lesquels la r\xc3\xa9duction ne s'applique pas) pour compl\xc3\xa9ter. Le personnel \xc3\xa9tait convivial ( surtout le patron qui nous a offert un digestif) mais la serveuse \xc3\xa9tait a chaque fois beaucoup trop press\xc3\xa9e de nous d\xc3\xa9barrasser. Les plats \xc3\xa9taient bons et de qualit\xc3\xa9s.""","b'8'","b'Nyla M.'","b'07-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b""Pour une \xc3\xa9ni\xc3\xa8me fois c'est juste parfait! J'ai trouv\xc3\xa9 la meilleure cantine japonaise :)""","b'10'","b'Samira A.'","b'07-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Service rapide. Nourriture tr\xc3\xa8s correcte mais pas tr\xc3\xa8s abondante. Heureusement qu\xe2\x80\x99il y a la r\xc3\xa9duction'","b'8,5'","b'Alain M.'","b'07-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b""tr\xc3\xa8s bon restaurant avec des produits de grande qualit\xc3\xa9. les sashimis saumon d'Ecosse sont un r\xc3\xa9gal\nainsi que la salade du chef copieuse \xc3\xa0 un prix hyper int\xc3\xa9ressant.\ntr\xc3\xa8s bon accueil, le personnel est sympa et tr\xc3\xa8s pro, ainsi que le patron Mr. SEN""","b'10'","b'Etienne P.'","b'07-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'10'","b'Claire H.'","b'06-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Restaurant japonais de bonne qualit\xc3\xa9, cadre moyen, nous \xc3\xa9tions dans une salle en sous-sol, seul... n\xc3\xa9anmoins il nous a \xc3\xa9t\xc3\xa9 propos\xc3\xa9 de prendre une table en salle d\xc3\xa8s qu\xe2\x80\x99une place se lib\xc3\xa8rerait. La qualit\xc3\xa9 des plats a rattrap\xc3\xa9 ce petit d\xc3\xa9sagr\xc3\xa9ment.'","b'7,5'","b'Karim O.'","b'06-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'9'","b'M\xc3\xa9gane B.'","b'06-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Toujours aussi bien! Rien \xc3\xa0 dire: on sent la qualit\xc3\xa9 de ce qui nous est servi...ils sont tous souriants aussi! que demande le peule?'","b'9,5'","b'Samira A.'","b'06-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'10'","b'Lou C.'","b'05-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Super good! I went there and came back the other night with other friend and she told me to go back again with more friends. Super recommended the food is tasty and great. The staff were super nice.'","b'10'","b'Donna Lyn U.'","b'05-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'No review.'","b'5,5'","b'Helle B.'","b'05-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b'Bon restaurant avec plats go\xc3\xbbteux, et service tr\xc3\xa8s agr\xc3\xa9able. Attention les promotions la fourchette ne sont pas valables sur les poke bowl mais uniquement sur les entr\xc3\xa9es en premi\xc3\xa8re page de menu.'","b'8,5'","b'M\xc3\xa9lissa B.'","b'05-08-2019'"
"yelp","b'Japohawai'","b'8 Rue Princesse  75006  Paris  France'","b""Excellent comme toujours. J'y ai emmen\xc3\xa9 mes parents qui \xc3\xa9taient enchant\xc3\xa9s. Nous avons go\xc3\xbbt\xc3\xa9 des Hawaiian Rolls au thon d\xc3\xa9licieux (servis en menu avec une salade et une soupe tout aussi bonnes). Ceux au saumon aussi sont tr\xc3\xa8s bons et originaux. Cela change des menus pr\xc3\xa9fabriqu\xc3\xa9s qui se ressemblent tous. Le tout pour un rapport qualit\xc3\xa9-prix imbattable dans le quartier.""","b'10'","b'Marianne F.'","b'05-08-2019'"
